,id,installed,latitude,locked,longitude,name,bikes_count,docks_count,nbEmptyDocks,temporary,terminal_name,install_date,removal_date
358,221,True,51.49481649,false,-0.13045856,"Horseferry Road, Westminster",2,16,13,False,1170,2010-07-19,
359,739,True,51.48176572,false,-0.185273723,"Hortensia Road, West Brompton",14,28,14,False,300091,2013-11-28,
360,256,True,51.51362054,false,-0.116764211,"Houghton Street, Strand",0,15,15,False,3484,2010-07-21,
361,779,True,51.514449,false,-0.077178979,"Houndsditch, Aldgate",2,28,25,False,200072,2015-06-26,
362,360,True,51.49675303,false,-0.138733562,"Howick Place, Westminster",14,27,13,False,2666,2010-11-05,
363,357,True,51.520994,false,-0.139016,"Howland Street, Fitzrovia",7,30,22,False,2691,2010-10-26,
364,539,True,51.531091,false,-0.075901,"Hoxton Station, Hoxton",22,22,0,False,200151,,
365,588,True,51.52959,false,-0.0801,"Hoxton Street, Hoxton",25,27,2,False,200071,2012-03-05,
366,761,True,51.48321729,false,-0.211860644,"Humbolt Road, Fulham",13,26,13,False,300068,2014-01-15,
367,774,True,51.470131,false,-0.20464,"Hurlingham Park, Parsons Green",19,20,1,False,300098,2014-03-31,
368,191,True,51.50311799,false,-0.153520935,"Hyde Park Corner, Hyde Park",13,36,22,False,1075,2010-07-17,
369,584,True,51.51244,false,-0.19096,"Ilchester Gardens, Bayswater",4,21,16,False,200086,,
370,145,True,51.50074359,false,-0.202759212,"Ilchester Place, Kensington",12,24,12,False,1115,2010-07-15,
371,392,True,51.49942855,false,-0.179702476,"Imperial College, Knightsbridge",1,21,20,False,1220,2011-02-17,
372,738,True,51.47514228,false,-0.187278987,"Imperial Road, Sands End",26,37,11,False,300087,2013-11-27,
373,780,True,51.474665,false,-0.18316517,"Imperial Wharf Station, Sands End",25,25,0,False,300070,2015-08-13,
374,551,True,51.505772,false,-0.016460175,"Import Dock, Canary Wharf",25,39,13,False,200066,2012-02-24,
375,744,True,51.46745485,false,-0.172293499,"Ingrave Street, Clapham Junction",16,30,13,False,300077,2013-11-29,
376,619,True,51.4737636,false,-0.197010096,"Irene Road, Parsons Green",10,43,33,False,300012,2013-09-30,
377,695,True,51.53638435,false,-0.102757578,"Islington Green, Angel",16,21,3,False,300031,2013-11-11,
378,102,True,51.51340693,false,-0.076793375,"Jewry Street, Aldgate",7,17,10,False,1045,2010-07-14,
379,447,True,51.493381,false,-0.007542,"Jubilee Crescent, Cubitt Town",4,54,48,False,200054,2012-01-07,
380,532,True,51.5034,false,-0.020242300000006708,"Jubilee Plaza, Canary Wharf",2,63,59,False,200163,2012-02-10,
381,450,True,51.515975,false,-0.053177,"Jubilee Street, Stepney",22,28,5,False,200002,2012-01-09,
382,144,True,51.48894022,false,-0.111435796,"Kennington Cross, Kennington",17,47,29,False,1093,2010-07-15,
383,270,True,51.4863434,false,-0.122492418,"Kennington Lane Rail Bridge, Vauxhall",27,31,3,False,1190,2010-07-21,
384,440,True,51.483145,false,-0.113134,"Kennington Oval, Oval",13,33,18,False,200032,2012-01-04,
385,235,True,51.49571828,false,-0.110889274,"Kennington Road  , Vauxhall",28,36,8,False,1154,2010-07-20,
386,149,True,51.48478899,false,-0.110683213,"Kennington Road Post Office, Oval",11,18,7,False,1073,2010-07-15,
387,435,True,51.488852,false,-0.105593,"Kennington Station, Kennington",14,23,9,False,22170,2011-12-08,
388,277,True,51.50315739,false,-0.191496313,"Kensington Church Street, Kensington",8,17,9,False,1143,2010-07-21,
389,258,True,51.50143293,false,-0.178656971,"Kensington Gore, Knightsbridge",7,23,16,False,1193,2010-07-21,
390,293,True,51.49815779,false,-0.209494128,"Kensington Olympia Station, Olympia",20,25,5,False,1214,2010-07-22,
391,375,True,51.50194596,false,-0.194392952,"Kensington Town Hall, Kensington",1,18,17,False,10632,2010-12-08,
